ID,Income_us,Gender,Age,Employment,Education,F1_importance,F2_importance,F3_importance,F4_importance,F5_importance,F1_functional,F1_dysfunctional,F2_functional,F2_dysfunctional,F3_functional,F3_dysfunctional,F4_dysfunctional,F4_functional,F5_functional,F5_dysfunctional
C3-1,prefer_not_to_answer,female,22,student_full_time,some_high_school_or_less,2,5 - Important,7 - Very important,7 - Very important,7 - Very important,This would be a minor inconvenience,This would not affect me,This is a basic requirement for me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-2,less_than_15,female,26,homemaker,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-3,100000_to_149999,male,24,student_part_time,masters_graduate_degree,4,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This is a basic requirement for me,This is a basic requirement for me,This would be a minor inconvenience
C3-4,75000_to_99999,male,32,employed_full_time,college_diploma,6,7 - Very important,7 - Very important,7 - Very important,7 - Very important,This would be very helpful to me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-5,50000_to_74999,female,23,employed_part_time,university_undergraduate_degree,3 - Somewhat important,7 - Very important,7 - Very important,6,5 - Important,This would not affect me,This would not affect me,This would be very helpful to me,This would be a minor inconvenience,This is a basic requirement for me,This would be a major problem for me,This would be a minor inconvenience,This would be very helpful to me,This is a basic requirement for me,This would be a major problem for me
C3-6,25000_to_34999,male,21,student_part_time,trade_or_vocational,6,9 - Extremely important,9 - Extremely important,9 - Extremely important,7 - Very important,This would not affect me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would not affect me
C3-7,prefer_not_to_answer,female,21,temporarily-unemployed,high_school_or_equivalent,5 - Important,9 - Extremely important,5 - Important,5 - Important,5 - Important,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me,This would be very helpful to me
C3-8,35000_to_49999,male,25,employed_full_time,high_school_or_equivalent,9 - Extremely important,7 - Very important,8,9 - Extremely important,9 - Extremely important,This would not affect me,This would be a minor inconvenience,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-9,75000_to_99999,female,16,student_full_time,some_high_school_or_less,3 - Somewhat important,4,4,5 - Important,4,This would not affect me,This would not affect me,This would not affect me,This would not affect me,This would be a minor inconvenience,This would be a minor inconvenience,This is a basic requirement for me,This is a basic requirement for me,This would not affect me,This is a basic requirement for me
C3-10,25000_to_34999,male,29,employed_part_time,high_school_or_equivalent,5 - Important,5 - Important,5 - Important,5 - Important,5 - Important,This would not affect me,This would not affect me,This would not affect me,This would not affect me,This would not affect me,This would be a major problem for me,This would be a major problem for me,This is a basic requirement for me,This is a basic requirement for me,This is a basic requirement for me
C3-11,35000_to_49999,male,56,employed_full_time,college_diploma,4,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-12,prefer_not_to_answer,female,34,other,other,7 - Very important,6,4,9 - Extremely important,6,This would not affect me,This is a basic requirement for me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a minor inconvenience
C3-13,50000_to_74999,male,20,student_full_time,some_high_school_or_less,4,7 - Very important,6,7 - Very important,5 - Important,This would not affect me,This would be very helpful to me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-14,25000_to_34999,female,33,employed_part_time,college_diploma,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be very helpful to me,This would not affect me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-15,50000_to_74999,male,34,employed_full_time,some_high_school_or_less,5 - Important,9 - Extremely important,7 - Very important,9 - Extremely important,7 - Very important,This would not affect me,This would not affect me,This would be very helpful to me,This would be a minor inconvenience,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
C3-16,50000_to_74999,male,19,student_full_time,some_high_school_or_less,3 - Somewhat important,8,9 - Extremely important,9 - Extremely important,9 - Extremely important,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a major problem for me,This is a basic requirement for me,This would be a minor inconvenience,This would be a major problem for me,This is a basic requirement for me,This would be very helpful to me,This would be a major problem for me
C3-17,less_than_15,male,20,student_full_time,high_school_or_equivalent,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,This is a basic requirement for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me,This would be very helpful to me,This would be a major problem for me,This would be a major problem for me,This would be very helpful to me,This would be very helpful to me,This would be a major problem for me
C3-18,35000_to_49999,male,23,employed_part_time,university_undergraduate_degree,2,6,7 - Very important,9 - Extremely important,5 - Important,This would not affect me,This would not affect me,This is a basic requirement for me,This would be a minor inconvenience,This is a basic requirement for me,This would be a minor inconvenience,This would be a major problem for me,This would be very helpful to me,This is a basic requirement for me,This would be a minor inconvenience
