ID,Income_us,Gender,Age,Employment,Education,F1_importance,F2_importance,F3_importance,F4_importance,F5_importance,F1_functional,F1_dysfunctional,F2_functional,F2_dysfunctional,F3_functional,F3_dysfunctional,F4_dysfunctional,F4_functional,F5_functional,F5_dysfunctional
C4-1,100000_to_149999,male,34,employed_full_time,university_undergraduate_degree,1 - Not at all important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I’m neutral,I’m neutral,I like it,I dislike it,I like it,I dislike it,I dislike it,I like it,I like it,I dislike it
C4-2,less_than_15,female,32,homemaker,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,9 - Extremely important,8,I’m neutral,I can tolerate it,I like it,I can tolerate it,I like it,I expect it,I dislike it,I like it,I’m neutral,I expect it
C4-3,75000_to_99999,male,23,employed_full_time,university_undergraduate_degree,7 - Very important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I expect it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it,I like it
C4-4,50000_to_74999,male,26,self_employed,university_undergraduate_degree,7 - Very important,8,6,9 - Extremely important,4,I expect it,I’m neutral,I expect it,I dislike it,I expect it,I dislike it,I dislike it,I like it,I like it,I dislike it
C4-5,35000_to_49999,female,26,employed_full_time,high_school_or_equivalent,7 - Very important,9 - Extremely important,9 - Extremely important,8,9 - Extremely important,I like it,I’m neutral,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
C4-6,100000_to_149999,female,28,self_employed,university_undergraduate_degree,5 - Important,6,5 - Important,6,7 - Very important,I can tolerate it,I’m neutral,I can tolerate it,I’m neutral,I’m neutral,I expect it,I can tolerate it,I can tolerate it,I’m neutral,I’m neutral
C4-7,35000_to_49999,female,36,homemaker,high_school_or_equivalent,4,6,7 - Very important,6,7 - Very important,I like it,I dislike it,I’m neutral,I can tolerate it,I expect it,I dislike it,I dislike it,I expect it,I expect it,I dislike it
C4-8,250000_or_more,male,26,employed_full_time,doctorate,5 - Important,9 - Extremely important,9 - Extremely important,9 - Extremely important,6,I expect it,I’m neutral,I like it,I dislike it,I like it,I dislike it,I dislike it,I can tolerate it,I dislike it,I like it
C4-9,less_than_15,male,22,temporarily-unemployed,some_high_school_or_less,4,6,5 - Important,9 - Extremely important,7 - Very important,I’m neutral,I can tolerate it,I like it,I can tolerate it,I like it,I can tolerate it,I dislike it,I like it,I like it,I can tolerate it
C4-10,75000_to_99999,male,20,student_full_time,some_high_school_or_less,4,9 - Extremely important,7 - Very important,9 - Extremely important,5 - Important,I expect it,I can tolerate it,I like it,I dislike it,I like it,I can tolerate it,I dislike it,I expect it,I like it,I can tolerate it
