ID,Income_us,Gender,Age,Employment,Education,F1_importance,F2_importance,F3_importance,F4_importance,F5_importance,F1_functional,F1_dysfunctional,F2_functional,F2_dysfunctional,F3_functional,F3_dysfunctional,F4_dysfunctional,F4_functional,F5_functional,F5_dysfunctional
C2-1,100000_to_149999,female,35,employed_full_time,masters_graduate_degree,3 - Somewhat important,7 - Very important,6,9 - Extremely important,5 - Important,I enjoy it that way,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-2,15000_to_24999,female,33,employed_full_time,high_school_or_equivalent,6,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, and I can’t accept it"
C2-3,less_than_15,female,23,employed_part_time,college_diploma,3 - Somewhat important,3 - Somewhat important,8,9 - Extremely important,6,I am neutral,"I dislike it, but I can live with it that way",I am neutral,I am neutral,I am neutral,I am neutral,"I dislike it, and I can’t accept it",I am neutral,I am neutral,I am neutral
C2-4,15000_to_24999,female,25,homemaker,high_school_or_equivalent,7 - Very important,6,9 - Extremely important,9 - Extremely important,8,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-5,75000_to_99999,female,21,employed_part_time,college_diploma,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,3 - Somewhat important,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral,I am neutral
C2-6,prefer_not_to_answer,male,43,employed_full_time,university_undergraduate_degree,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it",I am neutral,"I dislike it, but I can live with it that way",It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way
C2-7,less_than_15,female,33,homemaker,high_school_or_equivalent,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I enjoy it that way,I am neutral,I enjoy it that way,I am neutral,I enjoy it that way,I enjoy it that way,I am neutral,I am neutral,I enjoy it that way,I enjoy it that way
C2-8,75000_to_99999,male,40,employed_full_time,university_undergraduate_degree,6,9 - Extremely important,7 - Very important,9 - Extremely important,9 - Extremely important,It is a basic necessity or I expect it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",It is a basic necessity or I expect it that way,It is a basic necessity or I expect it that way,"I dislike it, and I can’t accept it"
C2-9,35000_to_49999,female,24,employed_full_time,college_diploma,1 - Not at all important,9 - Extremely important,9 - Extremely important,9 - Extremely important,9 - Extremely important,I am neutral,I am neutral,I enjoy it that way,"I dislike it, and I can’t accept it",I enjoy it that way,"I dislike it, but I can live with it that way","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
C2-10,25000_to_34999,female,32,homemaker,some_high_school_or_less,5 - Important,7 - Very important,7 - Very important,7 - Very important,7 - Very important,I am neutral,It is a basic necessity or I expect it that way,I enjoy it that way,"I dislike it, but I can live with it that way",I enjoy it that way,"I dislike it, and I can’t accept it","I dislike it, and I can’t accept it",I enjoy it that way,I enjoy it that way,"I dislike it, but I can live with it that way"
